1684163005140|b6e6e5c9-86c7-48b1-87ae-b81b37ff3bc8
 Interpreters : []

1684163015130|find | debut  cd = 
 Template >>>> 
 titre : title-1212
 Album : album-title-177
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]

1684163015130|find | debut  cd = 
 Template >>>> 
 titre : null
 Album : album-title-178
 Composers : []
 Interpreters : []

1684163015131|find | debut  cd = 
 Template >>>> 
 titre : title-1224
 Album : null
 Composers : []
 Interpreters : []

1684163015131|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = d76c6e7a-19b7-4cc8-982a-39d0beb5da31

1684163015132|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1198
 Album : album-title-175
 Composers : [composer-164, composer-163]
 Interpreters : [interpreter-169, interpreter-168]
 Node Address : 2484e26f-f6f8-425d-b9b0-a6ce80fdd16a request = 6363d56d-e56f-4001-b9ca-f36a3b11f86e

1684163015133|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = d76c6e7a-19b7-4cc8-982a-39d0beb5da31

1684163015138|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1200
 Album : album-title-175
 Composers : [composer-164, composer-163]
 Interpreters : [interpreter-169, interpreter-168]
 Node Address : 2484e26f-f6f8-425d-b9b0-a6ce80fdd16a request = fb153f65-de3f-495a-adfb-d06682d34af9

1684163015138|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1198
 Album : album-title-175
 Composers : [composer-164, composer-163]
 Interpreters : [interpreter-169, interpreter-168]
 Node Address : 2484e26f-f6f8-425d-b9b0-a6ce80fdd16a request = 0dc6bbec-d827-4d65-879e-f3c6cf6ded79

1684163015138|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1198
 Album : album-title-175
 Composers : [composer-164, composer-163]
 Interpreters : [interpreter-169, interpreter-168]
 Node Address : 2484e26f-f6f8-425d-b9b0-a6ce80fdd16a request = 6363d56d-e56f-4001-b9ca-f36a3b11f86e

1684163015138|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1214
 Album : album-title-177
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 2361b599-317c-4c57-a2ee-a0512adcaf0d request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015139|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015139|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015139|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015139|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = d76c6e7a-19b7-4cc8-982a-39d0beb5da31

1684163015140|find | debut  cd = 
 Template >>>> 
 titre : title-246
 Album : null
 Composers : [composer-55]
 Interpreters : []

1684163015140|find | debut  cd = 
 Template >>>> 
 titre : title-248
 Album : album-title-37
 Composers : [composer-55]
 Interpreters : [interpreter-56, interpreter-57]

1684163015141|find | debut  cd = 
 Template >>>> 
 titre : title-1680
 Album : album-title-243
 Composers : [composer-199, composer-198]
 Interpreters : [interpreter-203]

1684163015183|find | debut  cd = 
 Template >>>> 
 titre : title-261
 Album : album-title-38
 Composers : []
 Interpreters : [interpreter-58]

1684163015184|find | debut  cd = 
 Template >>>> 
 titre : title-258
 Album : album-title-38
 Composers : [composer-56, composer-57]
 Interpreters : [interpreter-58]

1684163015185|find | debut  cd = 
 Template >>>> 
 titre : title-256
 Album : album-title-38
 Composers : []
 Interpreters : []

1684163015185|find | debut  cd = 
 Template >>>> 
 titre : title-265
 Album : album-title-39
 Composers : [composer-58, composer-59]
 Interpreters : [interpreter-59]

1684163015186|find | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : [composer-58]
 Interpreters : []

1684163015186|find | debut  cd = 
 Template >>>> 
 titre : title-272
 Album : null
 Composers : []
 Interpreters : [interpreter-60, interpreter-61]

1684163015187|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-248
 Album : album-title-37
 Composers : [composer-55]
 Interpreters : [interpreter-56, interpreter-57]
 Node Address : 69fa32f9-f637-4e81-b8e9-bc214d0bfd13 request = d995b6ab-69bd-4e36-a2ad-92c224d57ea4

1684163015188|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-261
 Album : album-title-38
 Composers : [composer-56, composer-57]
 Interpreters : [interpreter-58]
 Node Address : 3a843463-b2e2-4ae3-ab61-57c7c34aa866 request = b77e003e-87eb-4006-bb7a-37190b3af3e0

1684163015188|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-258
 Album : album-title-38
 Composers : [composer-56, composer-57]
 Interpreters : [interpreter-58]
 Node Address : 3a843463-b2e2-4ae3-ab61-57c7c34aa866 request = 332ae7e8-b62b-41bd-9092-c0516e9b6158

1684163015189|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-248
 Album : album-title-37
 Composers : [composer-55]
 Interpreters : [interpreter-56, interpreter-57]
 Node Address : 69fa32f9-f637-4e81-b8e9-bc214d0bfd13 request = d995b6ab-69bd-4e36-a2ad-92c224d57ea4

1684163015189|find | debut  cd = 
 Template >>>> 
 titre : title-1238
 Album : null
 Composers : []
 Interpreters : []

1684163015190|find | debut  cd = 
 Template >>>> 
 titre : title-1243
 Album : null
 Composers : [composer-168, composer-167]
 Interpreters : []

1684163015190|match | debut  cd = 
 Template >>>> 
 titre : title-1254
 Album : null
 Composers : [composer-169]
 Interpreters : []

1684163015190|find | debut  cd = 
 Template >>>> 
 titre : title-1687
 Album : album-title-244
 Composers : [composer-199, composer-198]
 Interpreters : [interpreter-203]

1684163015191|find | debut  cd = 
 Template >>>> 
 titre : title-1701
 Album : null
 Composers : []
 Interpreters : []

1684163015191|find | debut  cd = 
 Template >>>> 
 titre : title-291
 Album : null
 Composers : [composer-64]
 Interpreters : [interpreter-65]

1684163015191|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1680
 Album : album-title-243
 Composers : [composer-199, composer-198]
 Interpreters : [interpreter-203]
 Node Address : 2361b599-317c-4c57-a2ee-a0512adcaf0d request = 201be6f0-30dd-4642-9351-4842506a7e33

1684163015197|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015236|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015237|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015237|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015237|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015237|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1200
 Album : album-title-175
 Composers : [composer-164, composer-163]
 Interpreters : [interpreter-169, interpreter-168]
 Node Address : 2484e26f-f6f8-425d-b9b0-a6ce80fdd16a request = fb153f65-de3f-495a-adfb-d06682d34af9

1684163015238|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-261
 Album : album-title-38
 Composers : [composer-56, composer-57]
 Interpreters : [interpreter-58]
 Node Address : 3a843463-b2e2-4ae3-ab61-57c7c34aa866 request = b77e003e-87eb-4006-bb7a-37190b3af3e0

1684163015238|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1243
 Album : album-title-182
 Composers : [composer-168, composer-167]
 Interpreters : [interpreter-172, interpreter-173]
 Node Address : 110e9cd1-ea2d-4d7e-92ce-9e560fe8e3bb request = 23e42d38-6723-4764-aab7-8a3be9dd7bd2

1684163015238|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1243
 Album : album-title-182
 Composers : [composer-168, composer-167]
 Interpreters : [interpreter-172, interpreter-173]
 Node Address : 110e9cd1-ea2d-4d7e-92ce-9e560fe8e3bb request = 23e42d38-6723-4764-aab7-8a3be9dd7bd2

1684163015238|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015238|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015238|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1220
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015239|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1224
 Album : album-title-178
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 0e7bc7ce-37f2-4a3d-95d5-5e0bc4b568ce request = cc5fa69b-d77c-46df-a30f-319fbaebaee4

1684163015239|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015239|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015239|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015239|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015239|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015240|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015241|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-291
 Album : album-title-43
 Composers : [composer-64]
 Interpreters : [interpreter-65]
 Node Address : a8b99e96-43d2-4520-871c-0567329ba19a request = dc2319eb-522d-4f71-9a9c-6168d3eb8544

1684163015242|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015242|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015242|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015242|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015242|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015242|find | debut  cd = 
 Template >>>> 
 titre : title-753
 Album : album-title-111
 Composers : []
 Interpreters : [interpreter-123]

1684163015243|find | debut  cd = 
 Template >>>> 
 titre : title-756
 Album : album-title-111
 Composers : []
 Interpreters : [interpreter-123]

1684163015243|find | debut  cd = 
 Template >>>> 
 titre : title-775
 Album : null
 Composers : []
 Interpreters : [interpreter-124]

1684163015244|find | debut  cd = 
 Template >>>> 
 titre : title-771
 Album : null
 Composers : []
 Interpreters : []

1684163015244|find | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-125]

1684163015248|match | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-68]

1684163015248|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-753
 Album : album-title-111
 Composers : [composer-120]
 Interpreters : [interpreter-123]
 Node Address : 081faee4-95ff-4d3f-9458-336fb0f27d7f request = a20253ae-de07-4cc5-a977-9ec64fc1ed22

1684163015250|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1226
 Album : album-title-179
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : ac62d072-4c3a-4241-b6a3-06b1eb276479 request = 206e8934-3187-406f-adc9-0545dc7fb163

1684163015251|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-272
 Album : album-title-40
 Composers : [composer-60]
 Interpreters : [interpreter-60, interpreter-61]
 Node Address : 66aa3f69-4cd7-4dc9-93fc-6da859e973e0 request = 0e936225-8535-4f14-968d-4afc6515a888

1684163015251|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015251|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015251|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015251|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015251|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015252|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015253|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-756
 Album : album-title-111
 Composers : [composer-120]
 Interpreters : [interpreter-123]
 Node Address : 081faee4-95ff-4d3f-9458-336fb0f27d7f request = db9bace7-3083-4d5d-b740-0331be7bce1f

1684163015253|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015254|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-753
 Album : album-title-111
 Composers : [composer-120]
 Interpreters : [interpreter-123]
 Node Address : 081faee4-95ff-4d3f-9458-336fb0f27d7f request = a20253ae-de07-4cc5-a977-9ec64fc1ed22

1684163015254|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015254|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-756
 Album : album-title-111
 Composers : [composer-120]
 Interpreters : [interpreter-123]
 Node Address : 081faee4-95ff-4d3f-9458-336fb0f27d7f request = db9bace7-3083-4d5d-b740-0331be7bce1f

1684163015254|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015254|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015255|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-272
 Album : album-title-40
 Composers : [composer-60]
 Interpreters : [interpreter-60, interpreter-61]
 Node Address : 66aa3f69-4cd7-4dc9-93fc-6da859e973e0 request = 0e936225-8535-4f14-968d-4afc6515a888

1684163015255|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015255|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015255|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015256|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1212
 Album : album-title-177
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 2361b599-317c-4c57-a2ee-a0512adcaf0d request = 61f79874-c7ac-40b9-8feb-d1b19d56fdff

1684163015256|acceptMatched | request = 84601665-a507-4289-8ffa-15118c17b677

1684163015256|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-291
 Album : album-title-43
 Composers : [composer-64]
 Interpreters : [interpreter-65]
 Node Address : a8b99e96-43d2-4520-871c-0567329ba19a request = dc2319eb-522d-4f71-9a9c-6168d3eb8544

1684163015256|acceptMatched | request = 265704ee-4592-4089-a70c-9cd6f96bb61e

1684163015257|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1212
 Album : album-title-177
 Composers : [composer-166, composer-165]
 Interpreters : [interpreter-170, interpreter-171]
 Node Address : 2361b599-317c-4c57-a2ee-a0512adcaf0d request = 61f79874-c7ac-40b9-8feb-d1b19d56fdff

1684163015257|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015258|match | fin  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-68]

1684163015258|find | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : [composer-66]
 Interpreters : []

1684163015259|find | debut  cd = 
 Template >>>> 
 titre : title-317
 Album : null
 Composers : []
 Interpreters : [interpreter-69]

1684163015259|match | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-71]

1684163015259|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-756
 Album : album-title-111
 Composers : [composer-120]
 Interpreters : [interpreter-123]
 Node Address : 081faee4-95ff-4d3f-9458-336fb0f27d7f request = db9bace7-3083-4d5d-b740-0331be7bce1f

1684163015260|match | fin  cd = 
 Template >>>> 
 titre : title-1254
 Album : null
 Composers : [composer-169]
 Interpreters : []

1684163015260|match | debut  cd = 
 Template >>>> 
 titre : title-1253
 Album : null
 Composers : [composer-169]
 Interpreters : []

1684163015260|find | debut  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-205]

1684163015261|match | debut  cd = 
 Template >>>> 
 titre : null
 Album : album-title-250
 Composers : []
 Interpreters : []

1684163015263|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015263|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-317
 Album : album-title-46
 Composers : [composer-67, composer-68]
 Interpreters : [interpreter-69]
 Node Address : 5d929009-0f6f-4b80-9524-824cc7286fe1 request = dd5b3318-fd2b-4dd6-8ca5-22c225872530

1684163015263|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015263|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015263|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015264|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015264|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015264|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015264|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015264|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015264|match | fin  cd = 
 Template >>>> 
 titre : null
 Album : null
 Composers : []
 Interpreters : [interpreter-71]

1684163015265|match | fin  cd = 
 Template >>>> 
 titre : title-1253
 Album : null
 Composers : [composer-169]
 Interpreters : []

1684163015266|find | debut  cd = 
 Template >>>> 
 titre : title-1257
 Album : null
 Composers : [composer-169]
 Interpreters : [interpreter-174]

1684163015266|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015274|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015274|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015275|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015275|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015275|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015275|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015275|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015275|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015276|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015276|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015276|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015276|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1727
 Album : album-title-250
 Composers : [composer-201, composer-202]
 Interpreters : [interpreter-206, interpreter-205]
 Node Address : e7e9fb8c-c54c-4970-a749-f6b1b5753dcd request = f2b6e62a-ca29-478b-8989-a338b255f6d1

1684163015276|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015276|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015277|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015277|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015277|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015277|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015277|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015277|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015277|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015277|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015278|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015278|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015278|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015278|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015278|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015278|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1715
 Album : album-title-249
 Composers : [composer-201, composer-202]
 Interpreters : [interpreter-206, interpreter-205]
 Node Address : 22bf464d-ed0b-4ed7-bb25-26aa3d3d8f71 request = f2b6e62a-ca29-478b-8989-a338b255f6d1

1684163015293|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015293|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015293|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015294|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015295|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015295|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015295|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015296|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015296|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015296|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015296|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015296|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015296|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015296|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-307
 Album : album-title-45
 Composers : [composer-66]
 Interpreters : [interpreter-68]
 Node Address : c98a2e39-e824-460f-8890-76ff790a76ea request = 0989c83a-b62f-42b6-ab3f-87d0e01e651d

1684163015297|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015297|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015297|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015297|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015297|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015297|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015297|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015298|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015298|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015298|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015298|acceptMatched | request = 96b32164-b945-4c8c-aca0-f5afd6263c67

1684163015298|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015298|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015298|acceptMatched | request = 6a99efb1-928c-460e-a8c5-a49e95ebdc75

1684163015298|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015299|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015299|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015299|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015299|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015300|acceptMatched | request = 9770c932-cfc5-485d-b6b0-00b88d105e22

1684163015315|acceptMatched | request = 6f35ac93-7f4c-4699-a027-d4a60ba51a38

1684163015315|acceptFound |  content = 
Descriptor >>>> 
 Template >>>> 
 titre : title-1715
 Album : album-title-249
 Composers : [composer-201, composer-202]
 Interpreters : [interpreter-206, interpreter-205]
